,index,description,species,cleaned_text
0,0,"2 Jun 2023 ï¿½ The Javan myna shares some similarities with the common myna in terms of physical appearance. However, it can be distinguished by its frontalï¿½...",Javan Myna,"['2', 'jun', '2023', 'javan', 'myna', 'shares', 'similarities', 'common', 'myna', 'terms', 'physical', 'appearance', 'however', 'distinguished', 'frontal']"
1,1,"Click here for more information about the Red List categories and criteria Justification of Red List category This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence <20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of ... ",Collared Kingfisher,"['click', 'information', 'red', 'list', 'categories', 'criteria', 'justification', 'red', 'list', 'category', 'species', 'extremely', 'large', 'range', 'hence', 'approach', 'thresholds', 'vulnerable', 'range', 'size', 'criterion', 'extent', 'occurrence', '20000', 'km2', 'combined', 'declining', 'fluctuating', 'range', 'size', 'habitat', 'extentquality', 'population', 'size', 'small', 'number']"
2,2,"The black-headed oriole ( Oriolus larvatus) is a species of bird in the family Oriolidae. It is found in Africa and has a very striking appearance with a bright yellow body, contrasting black head and flesh-coloured beak. Taxonomy and systematics[edit] Some authorities have considered the mountain oriole to be a subspecies of the black-headed ... ",Black-naped Oriole,"['blackheaded', 'oriole', 'oriolus', 'larvatus', 'species', 'bird', 'family', 'oriolidae', 'found', 'africa', 'striking', 'appearance', 'bright', 'yellow', 'body', 'contrasting', 'black', 'head', 'fleshcoloured', 'beak', 'taxonomy', 'systematicsedit', 'authorities', 'considered', 'mountain', 'oriole', 'subspecies', 'blackheaded']"
3,3,"Search from thousands of royalty-free ""Javan Myna"" stock images and video for your next project. Download royalty-free stock photos, vectors, HD footage and more on Adobe Stock.",Javan Myna,"['search', 'thousands', 'royaltyfree', 'javan', 'myna', 'stock', 'images', 'video', 'next', 'project', 'download', 'royaltyfree', 'stock', 'photos', 'vectors', 'hd', 'footage', 'adobe', 'stock']"
4,4, 521 foreground recordings and 156 background recordings of Egretta garzetta . Total recording duration 3:32:17.,Little Egret,"['521', 'foreground', 'recordings', '156', 'background', 'recordings', 'egretta', 'garzetta', 'total', 'recording', 'duration', '33217']"
5,5," The little egret (Egretta garzetta) is a small white heron belonging to the family Ardeidae. The little egret is distributed in Asia, Indian Subcontinent, Europe, Africa and Australia.",Little Egret,"['little', 'egret', 'egretta', 'garzetta', 'small', 'white', 'heron', 'belonging', 'family', 'ardeidae', 'little', 'egret', 'distributed', 'asia', 'indian', 'subcontinent', 'europe', 'africa', 'australia']"
6,6,Survey records slight increase in species breeding in the wild,Collared Kingfisher,"['survey', 'records', 'slight', 'increase', 'species', 'breeding', 'wild']"
7,7, Handbook of the Birds of the World Alive series is the first work ever to illustrate and deal in detail with all the living species of birds.,Little Egret,"['handbook', 'birds', 'world', 'alive', 'series', 'first', 'work', 'ever', 'illustrate', 'deal', 'detail', 'living', 'species', 'birds']"
8,8," del Hoyo, J., A. MartÃ­nez-Vilalta, A. Motis, N. Collar, G. M. Kirwan, and D. A. Christie (2020). Little Egret (Egretta garzetta), version 1.0. In Birds of the World (S. M. Billerman, B. K. Keeney, P. G. Rodewald, and T. S. Schulenberg, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.Â ...",Little Egret,"['del', 'hoyo', 'j', 'martnezvilalta', 'motis', 'n', 'collar', 'g', 'kirwan', 'christie', '2020', 'little', 'egret', 'egretta', 'garzetta', 'version', '10', 'birds', 'world', 'billerman', 'b', 'k', 'keeney', 'p', 'g', 'rodewald', 'schulenberg', 'editors', 'cornell', 'lab', 'ornithology', 'ithaca', 'ny', 'usa']"
9,9,"Recently Viewed. Black-naped Oriole is a photograph by Travelling Fatman which was uploaded on January 15th, 2024. The photograph may be purchased as wall art, home decor, apparel, phone cases, greeting cards, and more. All products are produced on-demand and shipped worldwide within 2 - 3 business days. ",Black-naped Oriole,"['recently', 'viewed', 'blacknaped', 'oriole', 'photograph', 'travelling', 'fatman', 'uploaded', 'january', '15th', '2024', 'photograph', 'may', 'purchased', 'wall', 'art', 'home', 'decor', 'apparel', 'phone', 'cases', 'greeting', 'cards', 'products', 'produced', 'ondemand', 'shipped', 'worldwide', 'within', '2', '3', 'business', 'days']"
