,description,species,text_length,cleaned_text,chunked,POS Tag
0,"2 Jun 2023 ï¿½ The Javan myna shares some similarities with the common myna in terms of physical appearance. However, it can be distinguished by its frontalï¿½...",Javan Myna,162,jun javan myna share similarity common myna term physical appearance however distinguished frontal,jun javan_myna share similarity common myna term physical appearance however distinguished frontal,"[[('jun', 'NN'), ('javan_myna', 'NN'), ('share', 'NN'), ('similarity', 'NN'), ('common', 'JJ'), ('myna', 'JJ'), ('term', 'NN'), ('physical', 'JJ'), ('appearance', 'NN'), ('however', 'RB'), ('distinguished', 'VBD'), ('frontal', 'JJ')]]"
1,"Click here for more information about the Red List categories and criteria Justification of Red List category This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence <20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of ... ",Collared Kingfisher,398,click information red list category criterion justification red list category specie extremely large range hence approach threshold vulnerable range size criterion extent occurrence km combined declining fluctuating range size habitat extent quality population size small number,click information red list category criterion justification red list category specie extremely large range hence approach threshold vulnerable range size criterion extent occurrence km combined declining fluctuating range size habitat extent quality population size small number,"[[('click', 'JJ'), ('information', 'NN'), ('red', 'JJ'), ('list', 'NN'), ('category', 'NN'), ('criterion', 'NN'), ('justification', 'NN'), ('red', 'JJ'), ('list', 'NN'), ('category', 'NN'), ('specie', 'NN'), ('extremely', 'RB'), ('large', 'JJ'), ('range', 'NN'), ('hence', 'NN'), ('approach', 'NN'), ('threshold', 'VBD'), ('vulnerable', 'JJ'), ('range', 'NN'), ('size', 'NN'), ('criterion', 'NN'), ('extent', 'NN'), ('occurrence', 'NN'), ('km', 'NN'), ('combined', 'VBD'), ('declining', 'VBG'), ('fluctuating', 'VBG'), ('range', 'NN'), ('size', 'NN'), ('habitat', 'NN'), ('extent', 'NN'), ('quality', 'NN'), ('population', 'NN'), ('size', 'NN'), ('small', 'JJ'), ('number', 'NN')]]"
2,"The black-headed oriole ( Oriolus larvatus) is a species of bird in the family Oriolidae. It is found in Africa and has a very striking appearance with a bright yellow body, contrasting black head and flesh-coloured beak. Taxonomy and systematics[edit] Some authorities have considered the mountain oriole to be a subspecies of the black-headed ... ",Black-naped Oriole,349,black headed oriole oriolus larvatus specie bird family oriolidae found africa striking appearance bright yellow body contrasting black head flesh coloured beak taxonomy systematics edit authority considered mountain oriole subspecies black headed,black_headed_oriole oriolus larvatus specie bird family oriolidae found africa striking appearance bright yellow body contrasting black head flesh coloured beak taxonomy systematics edit authority considered mountain oriole subspecies black_headed,"[[('black_headed_oriole', 'JJ'), ('oriolus', 'NN'), ('larvatus', 'NN'), ('specie', 'JJ'), ('bird', 'NN'), ('family', 'NN'), ('oriolidae', 'NN'), ('found', 'VBD'), ('africa', 'RB'), ('striking', 'JJ'), ('appearance', 'NN'), ('bright', 'VBD'), ('yellow', 'JJ'), ('body', 'NN'), ('contrasting', 'VBG'), ('black', 'JJ'), ('head', 'NN'), ('flesh', 'NN'), ('coloured', 'VBD'), ('beak', 'JJ'), ('taxonomy', 'NN'), ('systematics', 'NNS'), ('edit', 'VBP'), ('authority', 'NN'), ('considered', 'VBN'), ('mountain', 'NN'), ('oriole', 'JJ'), ('subspecies', 'NNS'), ('black_headed', 'VBD')]]"
3,"Search from thousands of royalty-free ""Javan Myna"" stock images and video for your next project. Download royalty-free stock photos, vectors, HD footage and more on Adobe Stock.",Javan Myna,177,search thousand royalty free javan myna stock image video next project download royalty free stock photo vector hd footage adobe stock,search thousand royalty free javan_myna stock image video next project download royalty free stock photo vector hd footage adobe stock,"[[('search', 'NN'), ('thousand', 'CD'), ('royalty', 'NN'), ('free', 'JJ'), ('javan_myna', 'NN'), ('stock', 'NN'), ('image', 'NN'), ('video', 'NN'), ('next', 'IN'), ('project', 'NN'), ('download', 'NN'), ('royalty', 'NN'), ('free', 'JJ'), ('stock', 'NN'), ('photo', 'NN'), ('vector', 'NN'), ('hd', 'NN'), ('footage', 'NN'), ('adobe', 'NN'), ('stock', 'NN')]]"
4, 521 foreground recordings and 156 background recordings of Egretta garzetta . Total recording duration 3:32:17.,Little Egret,112,foreground recording background recording egretta garzetta total recording duration,foreground recording background recording egretta garzetta total recording duration,"[[('foreground', 'NN'), ('recording', 'VBG'), ('background', 'NN'), ('recording', 'VBG'), ('egretta', 'NN'), ('garzetta', 'NN'), ('total', 'JJ'), ('recording', 'NN'), ('duration', 'NN')]]"
5," The little egret (Egretta garzetta) is a small white heron belonging to the family Ardeidae. The little egret is distributed in Asia, Indian Subcontinent, Europe, Africa and Australia.",Little Egret,185,little egret egretta garzetta small white heron belonging family ardeidae little egret distributed asia indian subcontinent europe africa australia,little_egret egretta garzetta small white heron belonging family ardeidae little_egret distributed asia indian subcontinent europe africa australia,"[[('little_egret', 'JJ'), ('egretta', 'NN'), ('garzetta', 'NN'), ('small', 'JJ'), ('white', 'JJ'), ('heron', 'NN'), ('belonging', 'VBG'), ('family', 'NN'), ('ardeidae', 'NN'), ('little_egret', 'NN'), ('distributed', 'VBD'), ('asia', 'JJ'), ('indian', 'JJ'), ('subcontinent', 'NN'), ('europe', 'NN'), ('africa', 'NN'), ('australia', 'NN')]]"
6,Survey records slight increase in species breeding in the wild,Collared Kingfisher,62,survey record slight increase specie breeding wild,survey record slight increase specie breeding wild,"[[('survey', 'NN'), ('record', 'NN'), ('slight', 'VBD'), ('increase', 'NN'), ('specie', 'NN'), ('breeding', 'VBG'), ('wild', 'JJ')]]"
7, Handbook of the Birds of the World Alive series is the first work ever to illustrate and deal in detail with all the living species of birds.,Little Egret,142,handbook bird world alive series first work ever illustrate deal detail living specie bird,handbook bird world alive series first work ever illustrate deal detail living specie bird,"[[('handbook', 'NN'), ('bird', 'NN'), ('world', 'NN'), ('alive', 'JJ'), ('series', 'NN'), ('first', 'RB'), ('work', 'VB'), ('ever', 'RB'), ('illustrate', 'JJ'), ('deal', 'NN'), ('detail', 'NN'), ('living', 'NN'), ('specie', 'NN'), ('bird', 'NN')]]"
8," del Hoyo, J., A. MartÃ­nez-Vilalta, A. Motis, N. Collar, G. M. Kirwan, and D. A. Christie (2020). Little Egret (Egretta garzetta), version 1.0. In Birds of the World (S. M. Billerman, B. K. Keeney, P. G. Rodewald, and T. S. Schulenberg, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA.Â ...",Little Egret,297,del hoyo j mart nez vilalta motis n collar g kirwan christie little egret egretta garzetta version bird world billerman b k keeney p g rodewald schulenberg editor cornell lab ornithology ithaca ny usa,del hoyo j mart nez vilalta motis n collar g kirwan christie little_egret egretta garzetta version bird world billerman b k keeney p g rodewald schulenberg editor cornell lab ornithology ithaca ny usa,"[[('del', 'NN'), ('hoyo', 'NN'), ('j', 'NN'), ('mart', 'NN'), ('nez', 'NN'), ('vilalta', 'NN'), ('motis', 'NN'), ('n', 'IN'), ('collar', 'JJ'), ('g', 'NN'), ('kirwan', 'NNP'), ('christie', 'NN'), ('little_egret', 'NN'), ('egretta', 'NN'), ('garzetta', 'NN'), ('version', 'NN'), ('bird', 'NN'), ('world', 'NN'), ('billerman', 'NN'), ('b', 'NN'), ('k', 'NN'), ('keeney', 'NNP'), ('p', 'NN'), ('g', 'NN'), ('rodewald', 'NN'), ('schulenberg', 'NN'), ('editor', 'NN'), ('cornell', 'NN'), ('lab', 'NN'), ('ornithology', 'NN'), ('ithaca', 'NN'), ('ny', 'NN'), ('usa', 'NN')]]"
9,"Recently Viewed. Black-naped Oriole is a photograph by Travelling Fatman which was uploaded on January 15th, 2024. The photograph may be purchased as wall art, home decor, apparel, phone cases, greeting cards, and more. All products are produced on-demand and shipped worldwide within 2 - 3 business days. ",Black-naped Oriole,306,recently viewed black naped oriole photograph travelling fatman uploaded january th photograph may purchased wall art home decor apparel phone case greeting card product produced demand shipped worldwide within business day,recently viewed black naped oriole photograph travelling fatman uploaded january th photograph may purchased wall art home decor apparel phone case greeting card product produced demand shipped worldwide within business day,"[[('recently', 'RB'), ('viewed', 'VBN'), ('black', 'JJ'), ('naped', 'JJ'), ('oriole', 'NN'), ('photograph', 'NN'), ('travelling', 'VBG'), ('fatman', 'NN'), ('uploaded', 'VBD'), ('january', 'JJ'), ('th', 'NN'), ('photograph', 'NN'), ('may', 'MD'), ('purchased', 'VB'), ('wall', 'VB'), ('art', 'JJ'), ('home', 'NN'), ('decor', 'NN'), ('apparel', 'NN'), ('phone', 'NN'), ('case', 'NN'), ('greeting', 'VBG'), ('card', 'JJ'), ('product', 'NN'), ('produced', 'VBN'), ('demand', 'NN'), ('shipped', 'VBD'), ('worldwide', 'RB'), ('within', 'IN'), ('business', 'NN'), ('day', 'NN')]]"
